#Frame             d1           d2           d3
     549      34.9949      15.9663    -115.8201
     550      22.1105      58.4951    -108.2069
     551      28.1190      63.5579     -90.9116
     552      18.9954      76.2345     -75.5424
     553      21.6415      78.6682     -91.7727
     554      14.3848     131.3336     -51.9583
     555       9.8927     148.7279     -52.7284
     556      12.4043     127.6454     -60.6641
     557      12.9538     124.7004     -70.6243
     558      21.2745     134.9884     -60.0063
     559      13.0998     135.9429     -56.4164
     560      11.6500     118.5771     -61.5197
     561      23.7842      66.6589    -101.4248
     562      21.4734      80.4488     -82.0481
     563      41.9461      12.9324    -101.7056
     564      35.6465      18.7185    -108.4685
     565      35.9789      40.0970    -101.8081
     566      26.5728      65.8273     -93.8188
     567      22.3332      78.3560     -90.4997
     568      25.2830      63.0241     -98.1121
     569      18.8898      74.7759     -81.6882
     570      38.3452      10.8763    -107.7316
     571      37.9709      17.0543    -115.5550
     572      43.3696      19.3893    -102.3021
     573      31.6648      -3.9892     -97.9641
     574      61.0806     -30.0347    -107.4716
     575      55.7958     -94.3908     -69.7149
     576      40.3863    -111.2441     -70.8959
     577      38.4724    -109.0218     -63.0675
     578      43.3303    -105.4333     -64.8352
     579      51.5519     -26.9510    -105.9506
     580      48.1141     -44.2116     -92.3305
     581      43.9091     -30.5892    -108.5031
     582      30.3797       6.7470    -116.9212
     583      35.7205      25.1901    -101.2811
     584      30.7309      11.7422    -102.3396
     585      49.2058      -8.9155     -97.8698
     586      34.3821      25.8905    -112.7726
     587      28.7354      35.3419    -111.2086
     588      39.2326       7.2802    -110.6562
     589      42.0332       7.5221    -116.8279
     590      30.5906      17.4877    -118.2984
     591      37.8850      10.5243    -110.0860
     592      38.9097       0.3354    -105.6869
     593      39.9479      -6.7437    -107.8766
     594      29.0643      12.4876    -117.1511
     595      32.0742       8.3268    -110.1610
     596      36.9207      18.7698    -109.2358
     597      41.3533      14.8717    -112.2111
     598      56.5415     -32.1453     -96.9180
     599      63.2092     -37.7841    -100.8598
     600      59.8342     -43.6731     -99.3051
     601      41.2063     -55.3218    -102.3975
     602      54.9837     -30.0540    -104.3206
     603      47.7093     -27.9522     -97.5656
     604      54.0918     -26.4075     -94.7063
     605      48.1960     -39.8412    -100.8626
     606      50.8505     -37.0901    -104.0666
     607      54.8453     -26.7030    -107.7412
     608      53.0773     -38.1457     -99.3479
     609      56.4144     -17.6914    -115.3444
     610      55.2478     -36.8707    -104.6590
     611      34.8885      19.2771     -97.7076
     612      37.3831     -10.5667    -105.3004
     613      50.1904     -43.2269    -107.2531
     614      55.3415     -53.9898     -85.4564
     615      54.2830     -46.0682    -100.2985
     616      28.0861    -140.8427     -55.7613
     617      19.6630    -171.3777     -54.9813
     618      35.2321    -164.2405     -58.7806
     619      37.9659    -157.2791     -45.3234
     620      19.2676     177.1135     -47.4705
     621      30.5038    -175.2859     -49.2101
     622      26.5764    -162.1888     -52.4717
     623      26.3122    -169.5930     -46.3561
     624      13.2136     178.0104     -50.8627
     625      23.1463    -164.0763     -52.9680
     626       8.1320     139.0726     -61.1574
     627      19.8067     150.8492     -41.4219
     628      18.3605     127.8295     -59.8378
     629      18.8044     139.5405     -56.5091
     630      34.7248    -116.7868     -59.6401
     631      56.9065     -48.3671     -86.2346
     632      43.5759     -50.7662     -84.5287
     633      27.8897      15.8110    -108.3854
     634      38.0235       9.4853    -113.8478
     635      32.9277      10.6950    -112.6817
     636      35.2553      12.8551    -117.9967
     637      35.0399      -7.1943    -113.2518
     638      33.5984      17.8669    -111.7498
     639      37.8107       7.9516    -104.1570
     640      30.2878      33.5321    -109.7183
