Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.160965	1.574428	0.469469
0.089384	1.803663	0.335655
0.408589	2.776466	0.145580
0.360876	2.816541	0.114405
0.433891	2.728094	0.139909
0.662031	3.117125	0.219287
0.591017	2.764186	0.150287
0.320329	2.533665	0.145002
0.337405	2.890241	0.098004
0.526660	2.867468	0.254296
0.408009	2.978497	0.327885
0.532774	3.033379	-0.003267
0.642903	-2.917943	0.099011
0.542806	2.748087	0.295189
0.608942	-3.051768	0.101004
0.575545	3.022743	0.310203
0.166134	2.037829	0.426766
0.155706	1.720170	0.419541
-0.007358	1.555762	0.684323
0.053301	1.797850	0.651448
0.122018	1.641299	0.655252
0.007208	1.376592	0.332911
0.154716	1.738100	0.320664
0.074749	1.512682	0.692365
0.176076	1.596538	0.517394
0.250203	1.799414	0.470858
-0.007116	0.659455	0.530221
-0.134755	0.803502	0.452717
-0.116537	0.483669	0.365648
-0.137195	0.675366	0.311272
-0.070335	0.380902	0.130336
-0.041190	0.698832	0.529901
-0.226690	0.299001	0.286957
-0.088914	0.559790	0.199973
-0.115209	0.821076	0.579099
-0.034184	1.028805	0.458905
-0.195021	0.618148	0.284384
-0.124922	-0.755049	-0.346500
0.300757	-1.681630	-0.824918
0.141340	-1.338476	-0.216281
0.151810	-1.184654	-0.379370
0.253205	-1.092347	-0.530421
0.169356	-1.162470	-0.441307
0.339695	-1.240102	-0.311789
0.031864	-1.175280	-0.651879
0.247676	-1.623771	-0.393593
0.619920	-2.209700	-0.383452
0.501515	-2.305962	-0.428035
0.385250	-2.128344	-0.354400
0.501681	-2.157272	-0.641128
0.445726	-2.123825	-0.389078
0.282366	-2.274860	-0.725542
0.504847	-2.317467	-0.441619
0.509730	2.753210	0.002543
0.473757	2.645764	0.226193
0.481917	3.068847	0.059338
0.445555	-3.093898	-0.076849
0.542438	2.868162	0.166929
0.850291	2.834683	0.216821
0.598053	2.928263	0.197943
0.398577	2.444534	0.428639
0.582460	2.873730	0.257502
0.602086	2.681136	0.258244
0.435531	2.869037	0.247701
0.420747	2.781664	0.181041
0.877525	-2.501640	-0.404196
0.573430	-2.468765	-0.011844
0.417369	-2.328110	-0.381798
0.424464	2.911415	0.148798
0.076641	2.567680	0.178945
0.389643	-2.182527	-0.326387
0.568152	-2.387169	-0.207703
0.513307	-2.464700	-0.148287
0.374350	2.630365	0.346858
0.506144	2.819003	0.068118
0.381283	2.682779	-0.012388
0.461835	2.784294	0.331442
0.443258	2.866384	0.079683
0.534931	2.862494	0.159972
0.271395	2.633505	0.280703
0.432034	2.907443	0.242693
0.416755	3.108227	-0.314288
0.512905	2.891588	0.159942
0.280754	2.678770	0.287580
0.325563	2.759224	0.270283
0.320666	2.076134	0.403761
-0.023614	1.383959	0.801309
0.167042	1.989894	0.317976
0.084155	1.572009	0.676038
-0.066012	1.215706	0.819045
0.046457	1.769289	0.429437
-0.120571	1.649628	0.724052
0.090813	1.602408	0.487629
0.052890	1.784646	0.510404
0.075304	1.213850	0.553648
-0.063279	0.515658	0.449157
-0.079144	0.602598	0.480421
-0.057273	0.429187	0.541878
